"행정구역별",2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2
"행정구역별",15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),실업자(RSE),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),15~64세 고용률 (%),실업률 (％),실업률(RSE)
"고령군",28,19,19,0,*,9,67.7,67.3,73.3,0.6,*
"성주군",36,26,25,0,*,11,70.2,69.2,78.7,1.4,*
"칠곡군",96,63,61,2,-,33,65.4,63.7,69.6,2.5,-
"예천군",46,32,32,0,*,14,69.6,69.2,75.2,0.6,*
"봉화군",26,19,19,0,*,7,73.2,72.7,78.9,0.6,*
"울진군",40,26,25,1,*,14,64.0,62.3,70.4,2.8,*
"울릉군",7,6,6,0,*,1,83.7,83.2,87.2,0.7,*
"진주시",306,191,187,4,*,116,62.2,61.1,65.4,1.9,*
"통영시",104,61,60,2,-,42,59.2,57.5,65.4,2.8,-
"사천시",95,62,61,1,*,33,65.1,63.8,69.5,2.1,*
"김해시",477,305,296,10,-,172,64.0,62.0,67.3,3.2,-
"밀양시",91,58,57,1,*,33,64.1,62.8,71.4,1.9,*
"거제시",207,137,134,3,-,70,66.3,64.8,68.9,2.4,-
"양산시",315,198,193,5,-,117,62.8,61.1,68.8,2.7,-
"창원시",864,550,537,13,-,314,63.7,62.2,69.6,2.4,-
"의령군",22,15,15,0,*,7,69.7,69.4,74.3,0.4,*
"함안군",54,35,34,1,*,19,65.0,64.0,70.6,1.5,*
"창녕군",51,34,34,1,*,16,68.0,66.7,74.5,1.8,*
"고성군",43,29,28,1,*,14,67.4,66.2,71.0,1.8,*
"남해군",36,25,25,0,*,10,70.9,70.0,74.4,1.2,*
"하동군",33,25,25,0,*,9,74.1,73.4,78.4,0.9,*
"산청군",30,21,21,0,*,8,72.2,71.6,75.0,0.8,*
"함양군",32,21,21,0,*,10,67.1,66.7,75.3,0.5,*
"거창군",52,35,35,1,*,17,68.0,66.8,69.1,1.8,*
"합천군",34,24,24,0,*,10,71.4,70.8,82.4,0.7,*
"제주시",423,297,289,8,-,126,70.2,68.4,73.5,2.6,-
"서귀포시",153,113,110,3,-,40,73.7,72.1,75.2,2.2,-
