자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-73253,2025.12.1 7:01,2136,신림역 8번출구,0,2025.12.1 8:01,2191,대학동주민센터,0,59,855.91,1997,M,내국인,ST-976,ST-2375,일반자전거
SPB-54937,2025.12.1 7:57,2187,현대시장사거리,0,2025.12.1 8:01,2171,서울대입구역 5번출구,0,3,656.43,1982,M,내국인,ST-2371,ST-1337,일반자전거
SPB-36603,2025.12.1 8:00,2119,중앙동 동진빌딩,0,2025.12.1 8:03,2171,서울대입구역 5번출구,0,2,483.33,1998,M,내국인,ST-884,ST-1337,일반자전거
SPB-50570,2025.12.1 7:59,2187,현대시장사거리,0,2025.12.1 8:03,2108,은천치안센터,0,3,684.12,1997,M,내국인,ST-2371,ST-714,일반자전거
SPB-64811,2025.12.1 8:01,2186,낙성대입구삼거리,0,2025.12.1 8:04,2167,낙성대역 1번출구,0,2,495.92,2007,M,내국인,ST-2370,ST-1262,일반자전거
SPB-53184,2025.12.1 7:59,2119,중앙동 동진빌딩,0,2025.12.1 8:05,2189,봉천역 4번출구,0,6,1224.01,1985,M,내국인,ST-884,ST-2373,일반자전거
SPB-32082,2025.12.1 8:00,2140,신림1교 교차로,0,2025.12.1 8:06,2136,신림역 8번출구,0,5,715.19,1998,M,내국인,ST-724,ST-976,일반자전거
SPB-69771,2025.12.1 8:02,2109,은천로입구 가로공원,0,2025.12.1 8:07,2189,봉천역 4번출구,0,4,660.0,1986,F,내국인,ST-882,ST-2373,일반자전거
SPB-35338,2025.12.1 8:05,2115,관악구시설관리공단,0,2025.12.1 8:07,2110,조원동 미성아파트,0,2,0.0,1991,F,내국인,ST-883,ST-950,일반자전거
SPB-67367,2025.12.1 8:01,2116,에이스에이존빌딩,0,2025.12.1 8:07,2189,봉천역 4번출구,0,6,810.0,1993,F,내국인,ST-717,ST-2373,일반자전거
SPB-58404,2025.12.1 8:01,2187,현대시장사거리,0,2025.12.1 8:07,2171,서울대입구역 5번출구,0,6,851.44,1994,\N,내국인,ST-2371,ST-1337,일반자전거
SPB-52174,2025.12.1 7:58,2111,서울대입구역 1번출구,0,2025.12.1 8:08,2178,서울대학교 정문,0,10,1841.68,1971,M,내국인,ST-965,ST-1547,일반자전거
SPB-65275,2025.12.1 8:07,2122,낙성대로 입구,0,2025.12.1 8:11,2111,서울대입구역 1번출구,0,4,650.0,1996,F,내국인,ST-719,ST-965,일반자전거
