대여소_번호,대여소_ID,대여소명,자치구,Capa,일평균_순유입량,순유입량_표준편차,n_days,t_statistic,p_value_two_sided,net_flow_group,반납_우세_비율(%),대여_우세_비율(%),매핑상태
2070,ST-1545,노량진역 2번 출구 앞,동작구,18,19.92,31.65,304,10.973683027529889,8.181089721902768e-24,+_순유입/과적,75.34,20.61,매핑완료
252,ST-300,보라매역4번출구,영등포구,10,19.72,24.35,304,14.120326433942026,3.9001398553658843e-35,+_순유입/과적,82.09,15.54,매핑완료
563,ST-364,성동세무서 건너편,성동구,10,19.66,34.53,304,9.927130406024865,2.716296425082868e-20,+_순유입/과적,67.57,27.7,매핑완료
426,ST-992,서울신용보증재단,마포구,10,19.33,21.24,304,15.867705570365581,1.0826420349385043e-41,+_순유입/과적,83.45,14.53,매핑완료
191,ST-347,서우빌딩,서대문구,10,19.28,20.75,304,16.2003993506437,5.9758245603219395e-43,+_순유입/과적,84.12,11.49,매핑완료
740,ST-1011,으뜸공원,양천구,10,19.21,24.0,304,13.955741450902726,1.5925772209607885e-34,+_순유입/과적,80.07,15.88,매핑완료
2228,ST-758,뒷벌공원 옆,서초구,15,19.1,23.24,304,14.32959893659671,6.488522148472588e-36,+_순유입/과적,80.41,15.2,매핑완료
5781,ST-3300,올림픽공원 수영장,송파구,14,19.08,28.14,304,11.822003104869374,8.959914822805599e-27,+_순유입/과적,74.32,19.93,매핑완료
4074,ST-2727,도봉구육아종합지원센터(창동),도봉구,10,19.04,23.41,304,14.180851923966584,2.3228574322328685e-35,+_순유입/과적,79.73,13.18,매핑완료
2335,ST-818,3호선 매봉역 3번출구앞,강남구,15,18.99,30.17,304,10.974543047774263,8.125578157177052e-24,+_순유입/과적,76.01,20.61,매핑완료
2731,ST-2048,명덕고교,강서구,20,18.72,25.42,304,12.840061089391252,1.994180289167012e-30,+_순유입/과적,80.07,17.23,매핑완료
1050,ST-1420,둔촌역 3번 출입구,강동구,15,18.67,38.06,304,8.552878957005191,6.050216892400428e-16,+_순유입/과적,67.91,30.41,매핑완료
960,ST-1481,구파발역 환승센터,은평구,15,18.58,27.48,304,11.788696123869826,1.1751466553954546e-26,+_순유입/과적,78.72,18.24,매핑완료
1380,ST-2222,월곡역 5번출구 앞,성북구,10,18.57,25.03,304,12.93563777571719,8.957429843971346e-31,+_순유입/과적,76.43,20.2,매핑완료
4222,ST-3008,서울디자인고등학교 앞,마포구,5,18.46,22.13,304,14.544107455537432,1.0269845175789224e-36,+_순유입/과적,81.76,15.2,매핑완료
943,ST-1029,은평구청 보건소,은평구,10,18.38,28.3,304,11.323895771346654,5.023113399594072e-25,+_순유입/과적,72.3,22.97,매핑완료
670,ST-2270,삼육서울병원 버스정류장,동대문구,9,18.28,34.07,304,9.354936623178578,1.9333512762046053e-18,+_순유입/과적,68.92,28.04,매핑완료
4509,ST-2761,서울영상고교 입구,양천구,15,18.22,32.62,304,9.738704935783087,1.1223136495964265e-19,+_순유입/과적,70.95,25.34,매핑완료
107,ST-9,신한은행 서교동지점,마포구,5,18.19,25.14,304,12.615492726015093,1.298746797317689e-29,+_순유입/과적,73.31,21.96,매핑완료
3966,ST-2642,독산역1번출구 B,금천구,8,18.02,30.27,304,10.379565109032434,8.53973989633223e-22,+_순유입/과적,74.32,21.96,매핑완료
1473,ST-2294,중랑역 1번 출구(중화문화복지센터),중랑구,10,18.01,20.94,304,14.995944598503828,2.0841781496580403e-38,+_순유입/과적,80.41,14.19,매핑완료
236,ST-285,문래동자이아파트 앞,영등포구,10,17.61,38.33,304,8.010457646308508,2.4819399478328996e-14,+_순유입/과적,70.27,28.04,매핑완료
3533,ST-1660,건대입구역 사거리(롯데백화점),광진구,10,17.52,40.56,304,7.531352020792171,5.812486598974114e-13,+_순유입/과적,64.86,33.11,매핑완료
3927,ST-3182,구로월드아파트 앞,구로구,9,17.49,25.21,304,12.096333601352857,9.500758680181344e-28,+_순유입/과적,76.35,19.26,매핑완료
1911,ST-668,구로디지털단지역 앞,구로구,18,17.48,50.09,304,6.084532124822598,3.521747447456011e-09,+_순유입/과적,61.95,35.69,매핑완료
565,ST-366,옥수역 3번출구,성동구,19,17.43,35.39,304,8.587240303578858,4.758554443751485e-16,+_순유입/과적,61.15,27.36,매핑완료
781,ST-2007,신정보도육교 아래,양천구,15,17.37,60.47,304,5.0083727236184234,9.337946067037433e-07,+_순유입/과적,60.61,38.38,매핑완료
1172,ST-1509,가양3동 주민센터,강서구,8,17.26,23.4,304,12.860614660771288,1.6791092990086392e-30,+_순유입/과적,73.99,22.3,매핑완료
146,ST-204,마포역 2번출구 뒤,마포구,12,17.25,28.61,304,10.512549007490614,3.0473117431082104e-22,+_순유입/과적,73.65,22.97,매핑완료
1848,ST-1149,벽산 디지털밸리 5차,금천구,9,17.25,34.85,304,8.630244680180962,3.520481367712264e-16,+_순유입/과적,69.26,22.97,매핑완료
735,ST-1006,영도초등학교,양천구,10,17.08,44.14,304,6.746714449993177,7.678509218397748e-11,+_순유입/과적,66.89,29.73,매핑완료
1662,ST-1279,노원역7번출구,노원구,20,17.07,27.56,304,10.799187948655923,3.2414216943687505e-23,+_순유입/과적,70.95,24.32,매핑완료
4182,ST-3392,보라매병원역 2번출구,동작구,10,17.06,35.3,304,8.42638141380214,1.4574796774622856e-15,+_순유입/과적,70.59,25.88,매핑완료
4567,ST-2817,한림대학교 강남성심병원 신관,영등포구,10,17.05,26.98,304,11.018417640825573,5.739569533155795e-24,+_순유입/과적,73.99,22.97,매핑완료
4382,ST-3043,페코텍글로벌허브빌딩 앞,성동구,7,16.93,31.66,304,9.323582958198813,2.433081272987069e-18,+_순유입/과적,70.61,26.35,매핑완료
