gu,factor,value,unit,source,year
송파구,population_density_per_km2,19691.4,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
송파구,centroid_lat,37.497060,deg,frontend/public/seoul_gu_simple.geojson,2013
송파구,centroid_lon,127.124191,deg,frontend/public/seoul_gu_simple.geojson,2013
송파구,dist_to_cityhall_km,15.023,km,computed_from_centroid,2013
송파구,registered_foreigners_total,6365,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
송파구,registered_foreigners_ratio_pct,0.954,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
양천구,population_total,466723,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
양천구,area_km2,17.40,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
양천구,population_density_per_km2,26823.2,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
양천구,centroid_lat,37.521914,deg,frontend/public/seoul_gu_simple.geojson,2013
양천구,centroid_lon,126.855404,deg,frontend/public/seoul_gu_simple.geojson,2013
양천구,dist_to_cityhall_km,11.874,km,computed_from_centroid,2013
양천구,registered_foreigners_total,3458,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
양천구,registered_foreigners_ratio_pct,0.741,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
영등포구,population_total,368733,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
영등포구,area_km2,24.57,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
영등포구,population_density_per_km2,15007.4,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
영등포구,centroid_lat,37.518601,deg,frontend/public/seoul_gu_simple.geojson,2013
영등포구,centroid_lon,126.908730,deg,frontend/public/seoul_gu_simple.geojson,2013
영등포구,dist_to_cityhall_km,8.082,km,computed_from_centroid,2013
영등포구,registered_foreigners_total,23957,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
영등포구,registered_foreigners_ratio_pct,6.497,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
용산구,population_total,229545,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
용산구,area_km2,21.87,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
용산구,population_density_per_km2,10495.9,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
용산구,centroid_lat,37.534372,deg,frontend/public/seoul_gu_simple.geojson,2013
용산구,centroid_lon,126.984205,deg,frontend/public/seoul_gu_simple.geojson,2013
용산구,dist_to_cityhall_km,3.593,km,computed_from_centroid,2013
용산구,registered_foreigners_total,13080,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
용산구,registered_foreigners_ratio_pct,5.698,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
은평구,population_total,484021,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
은평구,area_km2,29.69,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
은평구,population_density_per_km2,16302.5,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
은평구,centroid_lat,37.613514,deg,frontend/public/seoul_gu_simple.geojson,2013
은평구,centroid_lon,126.927121,deg,frontend/public/seoul_gu_simple.geojson,2013
은평구,dist_to_cityhall_km,6.898,km,computed_from_centroid,2013
은평구,registered_foreigners_total,4430,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
은평구,registered_foreigners_ratio_pct,0.915,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
종로구,population_total,153531,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
종로구,area_km2,23.91,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
종로구,population_density_per_km2,6421.2,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
종로구,centroid_lat,37.594692,deg,frontend/public/seoul_gu_simple.geojson,2013
종로구,centroid_lon,126.981555,deg,frontend/public/seoul_gu_simple.geojson,2013
종로구,dist_to_cityhall_km,3.173,km,computed_from_centroid,2013
종로구,registered_foreigners_total,11620,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
